,Unnamed: 0.1,Unnamed: 0,Symbol,Company Name,Sector,Budget Stick Sales,Price,Price/Earnings,Dividend Yield,Earnings/Share,52 Week Low,52 Week High,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
7,61,61,CAT,"Caterpillar, Inc.",Producer Manufacturing,999512,145.99,21.22,2.0215108,1.26,173.24,90.34,91822049046.0,8136000000.0,2.0468428,5.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CAT
135,203,203,JBHT,"J.B. Hunt Transport Services, Inc.",Transportation,999217,114.81,30.62,0.8139042,6.19,126.49,83.35,12945366350.0,1007309000.0,1.7697402,8.55,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JBHT
184,476,476,ETSY,"Etsy, Inc.",Retail Trade,998537,,,,,,,,,,,
137,10,10,LOW,"Lowe’s Companies, Inc.",Retail Trade,994050,95.01,23.87,1.6413131,3.46,108.98,70.76,82909678852.0,7858000000.0,1.5653384,14.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LOW
225,125,125,SWK,"Stanley Black & Decker, Inc.",Consumer Durables,988258,152.86,20.57,1.5775635,8.05,176.62,121.09,24496399600.0,2264600000.0,1.944325,3.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SWK
162,163,163,ALL,Allstate Corporation (The),Finance,987654,90.06,13.26,1.5278208,4.68,105.36,77.73,34759468905.0,0.0,1.2085556,1.67,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALL
441,450,450,GL,Globe Life Inc.,Finance,985982,,,,,,,,,,,
146,149,149,KMB,Kimberly-Clark Corporation,Consumer Non-Durables,981654,111.69,17.93,3.5599859,6.41,136.21,109.67,39449596000.0,4033000000.0,2.1947837,151.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KMB
314,420,420,CDAY,Ceridian HCM Holding Inc.,Technology Services,980069,,,,,,,,,,,
280,424,424,TWTR,"Twitter, Inc.",Technology Services,979439,,,,,,,,,,,
277,213,213,WAB,Westinghouse Air Brake Technologies Corporation,Producer Manufacturing,976124,,,,,,,,,,,
366,161,161,SYK,Stryker Corporation,Health Technology,972096,148.01,23.46,1.2234008,2.68,170.0,122.01,57509096756.0,2863000000.0,4.635566,5.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYK
478,401,401,WAT,Waters Corporation,Health Technology,967851,191.79,26.64,0.0,0.19,220.2,145.94,16064078572.0,773932000.0,6.9824114,6.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WAT
209,365,365,WY,Weyerhaeuser Company,Finance,967349,33.6,34.29,3.7079954,0.77,37.89,30.9504,26070297960.0,1365000000.0,3.6396794,2.9,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WY
61,455,455,VNO,Vornado Realty Trust,Finance,966800,66.18,16.22,3.744428,4.33,111.72,66.0101,12778779911.0,0.0,7.1491003,3.63,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VNO
282,36,36,GM,General Motors Company,Consumer Durables,966409,40.75,6.58,3.5857513,6.0,46.76,31.92,61536606173.0,23541000000.0,0.5633218,1.33,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GM
375,114,114,FB,"Meta Platforms, Inc.",Technology Services,966238,171.58,27.9,0.0,5.39,195.32,132.44,523000000000.0,23624000000.0,13.241967,7.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FB
152,151,151,AIG,"American International Group, Inc. New",Finance,965390,58.28,23.22,2.1167521,-0.76,67.3,57.85,54360073164.0,0.0,1.4686536,0.75,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AIG
412,43,43,GOOGL,Alphabet Inc.,Technology Services,962804,1007.71,31.48,0.0,22.27,1198.0,824.3,734000000000.0,34217000000.0,6.801692,4.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GOOGL
39,490,490,REG,Regency Centers Corporation,Finance,961905,55.58,15.27,3.6850338,1.43,72.05,56.66,9858367494.0,487636000.0,13.762162,1.51,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=REG
208,162,162,TSCO,Tractor Supply Company,Retail Trade,960862,65.94,19.57,1.6030874,3.3,82.68,49.87,8459271203.0,859519000.0,1.1642125,6.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TSCO
379,118,118,CRM,Salesforce.com Inc,Technology Services,959826,104.03,520.15,0.0,0.27,114.52,79.63,79489115000.0,925804000.0,10.3738785,8.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CRM
54,284,284,SYF,Synchrony Financial,Finance,953425,34.98,13.35,1.6,2.41,40.59,26.01,28893750000.0,0.0,2.1096623,1.97,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYF
168,427,427,PSA,Public Storage,Finance,953215,180.49,18.21,4.316159,6.81,232.21,180.9254,32258539942.0,1924803000.0,16.16417,6.56,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PSA
389,465,465,PLD,"Prologis, Inc.",Finance,950218,58.33,20.76,2.931379,3.06,67.53,48.69,31953288000.0,2969194000.0,14.380373,2.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PLD
448,379,379,ICE,Intercontinental Exchange Inc.,Finance,945567,67.0,22.95,5.4298644,2.37,76.1378,56.8,41373051167.0,3103000000.0,9.619987,2.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ICE
3,497,497,PNW,Pinnacle West Capital Corporation,Utilities,944934,74.34,16.06,3.698776,3.95,92.48,73.81,8397609889.0,1614399000.0,2.9931207,1.65,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PNW
292,318,318,NOW,"ServiceNow, Inc.",Technology Services,942614,,,,,,,,,,,
126,415,415,DXCM,"DexCom, Inc.",Health Technology,942469,,,,,,,,,,,
345,217,217,NUE,Nucor Corporation,Non-Energy Minerals,940985,60.38,17.01,2.415766,4.1,70.48,51.67,20003317128.0,2648729000.0,0.99837583,2.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NUE
467,294,294,PAYX,"Paychex, Inc.",Technology Services,932691,61.86,27.49,3.0892801,2.26,73.1,54.2,23253666810.0,1414900000.0,7.248487,11.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PAYX
228,262,262,ALGN,"Align Technology, Inc.",Health Technology,931758,220.71,56.59,0.0,2.84,287.32,92.61,18788041378.0,380326000.0,13.138819,16.44,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ALGN
109,70,70,UHS,"Universal Health Services, Inc.",Health Services,923899,114.87,15.36,0.34153005,7.14,129.74,95.26,11116075286.0,1676204000.0,1.3158662,2.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UHS
313,405,405,SJM,J.M. Smucker Company (The) New,Consumer Non-Durables,921610,118.37,15.35,2.6036885,5.1,143.68,99.565,13612394896.0,1411300000.0,2.496677,1.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SJM
267,187,187,RSG,"Republic Services, Inc.",Industrial Services,921370,62.72,26.13,2.1362228,1.77,69.4,57.53,21590903863.0,2734000000.0,2.8841186,2.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RSG
149,83,83,ORLY,"O’Reilly Automotive, Inc.",Retail Trade,918323,252.22,21.91,0.0,10.73,279.23,169.43,21433781860.0,1965187000.0,3.1934319,34.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ORLY
299,59,59,AZO,"AutoZone, Inc.",Retail Trade,916071,718.57,16.31,0.0,44.09,797.89,491.13,19922021415.0,2347304000.0,1.8510429,136.23,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AZO
20,11,11,UNH,UnitedHealth Group Incorporated,Health Services,913744,216.46,21.47,1.3284917,10.71,250.79,156.49,219000000000.0,17454000000.0,1.0903316,4.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNH
253,135,135,BWA,BorgWarner Inc.,Producer Manufacturing,909278,51.94,14.15,1.2363636,0.55,58.22,37.54,11596117445.0,867900000.0,1.5831376,2.89,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BWA
442,14,14,CVS,CVS Health Corporation,Retail Trade,907573,70.55,12.36,2.6899798,4.91,84.0,66.45,75323141722.0,11704000000.0,0.549852,2.13,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CVS
281,103,103,USB,U.S. Bancorp,Finance,904887,52.65,15.35,2.189781,3.52,58.5,49.535,90940115897.0,0.0,3.7773547,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=USB
370,53,53,HON,Honeywell International Inc.,Producer Manufacturing,904430,146.02,20.68,1.9710299,2.08,165.13,119.31,114000000000.0,8333000000.0,2.8267899,5.71,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HON
391,108,108,OMC,Omnicom Group Inc.,Commercial Services,887945,75.91,15.27,3.1838684,4.79,86.71,65.32,17377551986.0,2366000000.0,1.5327156,6.66,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OMC
492,337,337,MCO,Moody’s Corporation,Commercial Services,881539,152.14,26.55,1.114065,1.35,167.23,106.48,30189978000.0,1238000000.0,9.932974,73.84,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MCO
76,205,205,TXN,Texas Instruments Incorporated,Electronic Technology,881366,97.66,24.05,2.4318495,3.6,120.75,74.52,100000000000.0,7013000000.0,6.9572234,9.32,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TXN
166,377,377,FOXA,Fox Corporation,Consumer Services,881163,34.56,17.81,0.9983361,1.59,39.135,24.81,44027094922.0,5280000000.0,2.1080317,4.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FOXA
264,356,356,JNPR,"Juniper Networks, Inc.",Technology Services,880596,24.66,14.09,1.5754234,0.78,30.96,23.87,9267350000.0,1115500000.0,1.8543326,1.78,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=JNPR
174,139,139,BK,The Bank of New York Mellon Corporation,Finance,879453,53.29,14.76,1.7347307,3.73,58.99,44.91,56083904906.0,0.0,3.3834257,1.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BK
223,148,148,AMCR,Amcor plc,Process Industries,873131,,,,,,,,,,,
82,110,110,EL,"Estee Lauder Companies, Inc. (The)",Consumer Non-Durables,872858,131.46,37.78,1.1283498,3.35,138.74,81.69,49543264457.0,2478000000.0,3.9522583,10.82,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EL
432,361,361,COP,ConocoPhillips,Energy Minerals,872670,53.24,72.93,2.049254,-0.65,61.315,42.265,65482462410.0,5328000000.0,2.0764177,2.16,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COP
189,325,325,AMD,"Advanced Micro Devices, Inc.",Electronic Technology,867361,11.22,187.0,0.0,0.03,15.65,9.7,11191663795.0,339000000.0,2.1091955,21.47,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AMD
165,458,458,NLOK,NortonLifeLock Inc.,Technology Services,861650,,,,,,,,,,,
140,115,115,SYY,Sysco Corporation,Distribution Services,861632,57.0,22.98,2.4644873,2.08,64.27,48.85,30445320778.0,2988725000.0,0.7295535,13.4,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SYY
229,486,486,CTRA,Coterra Energy Inc.,Energy Minerals,856325,,,,,,,,,,,
302,247,247,ODFL,"Old Dominion Freight Line, Inc.",Transportation,855064,,,,,,,,,,,
464,461,461,EQR,Equity Residential,Finance,853631,55.26,17.6,3.5437918,1.63,70.455,56.07,20925508143.0,1710686000.0,8.593619,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EQR
167,328,328,SNA,Snap-On Incorporated,Consumer Durables,848865,156.72,15.81,1.968433,9.2,185.47,140.83,9499107736.0,982200000.0,3.5114813,3.21,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SNA
485,145,145,PPG,"PPG Industries, Inc.",Process Industries,843090,110.3,18.73,1.5771489,6.31,122.0697,99.57,29043337549.0,2585000000.0,1.9551051,4.83,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPG
472,167,167,MHK,"Mohawk Industries, Inc.",Consumer Durables,842059,256.57,19.08,0.0,12.48,286.85,209.9,19897356456.0,1750393000.0,2.7977824,2.88,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MHK
475,475,475,SBAC,SBA Communications Corporation,Finance,841049,159.85,199.81,0.0,0.62,177.67,103.51,19572031314.0,1074240000.0,15.189207,91.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBAC
77,88,88,TMUS,"T-Mobile US, Inc.",Communications,839335,,,,,,,,,,,
180,456,456,OKE,"ONEOK, Inc.",Industrial Services,838006,54.4,34.0,5.4436197,1.66,61.36,47.14,21988472489.0,1851783000.0,2.6159565,4.03,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=OKE
190,392,392,ISRG,"Intuitive Surgical, Inc.",Health Technology,836511,381.87,48.58,0.0,5.67,452.0,233.10643,44866621303.0,1153700000.0,14.655261,9.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ISRG
56,432,432,CCI,Crown Castle International Corp. (REIT),Finance,832836,103.81,21.45,3.862069,1.02,114.97,86.93,44183023189.0,2292600000.0,10.125291,3.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CCI
409,317,317,TDG,Transdigm Group Inc.,Electronic Technology,828641,283.0,23.76,0.0,7.92,321.38,203.72,15241203731.0,1635916000.0,4.268832,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TDG
327,266,266,CFG,"Citizens Financial Group, Inc.",Finance,828460,42.19,16.04,1.9625335,3.27,48.23,31.51,22008050974.0,0.0,3.3917346,1.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CFG
466,102,102,OTIS,Otis Worldwide Corporation,Producer Manufacturing,827983,,,,,,,,,,,
397,491,491,WELL,Welltower Inc.,Finance,827911,,,,,,,,,,,
57,92,92,MRK,"Merck & Company, Inc.",Health Technology,825499,54.73,13.75,3.435934,1.4,66.8,53.63,152000000000.0,8715000000.0,5.0893345,4.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MRK
216,168,168,PRU,"Prudential Financial, Inc.",Finance,822475,103.38,9.99,2.6985698,9.73,127.14,97.88,47136080000.0,0.0,1.083727,0.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PRU
42,464,464,MPWR,"Monolithic Power Systems, Inc.",Electronic Technology,821272,,,,,,,,,,,
151,489,489,VTR,"Ventas, Inc.",Finance,818899,50.92,12.21,5.965641,1.86,72.36,51.8,18865999082.0,1935931000.0,7.0740495,1.76,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VTR
479,33,33,RHI,Robert Half International Inc.,Commercial Services,813504,52.26,20.18,1.7075773,2.32,60.59,42.92,7047165475.0,565196000.0,1.3330402,5.98,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=RHI
8,444,444,EXR,Extra Space Storage Inc,Finance,813454,77.56,18.12,3.879632,2.92,88.56,71.34,10133547517.0,717468000.0,12.204818,4.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXR
111,209,209,DUK,Duke Energy Corporation (Holding Company),Utilities,812933,74.32,16.7,4.7849464,3.12,91.8,72.93,52078185682.0,9895000000.0,2.9348857,1.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=DUK
439,2,2,ACN,Accenture plc,Technology Services,811081,150.51,25.47,1.7144699,5.44,162.6,114.82,98765855553.0,5643228000.0,2.604117,10.62,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ACN
480,299,299,DPZ,Domino’s Pizza Inc,Consumer Services,807371,,,,,,,,,,,
344,487,487,KIM,Kimco Realty Corporation,Finance,805403,14.01,9.28,7.7134986,0.8,25.15,14.33,6180487499.0,701190000.0,7.0508943,1.2,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=KIM
142,181,181,YUM,"Yum! Brands, Inc.",Consumer Services,802371,76.3,27.25,1.7970798,4.07,86.93,62.85,27003303098.0,2289000000.0,6.3136363,212.08,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=YUM
410,263,263,MAS,Masco Corporation,Producer Manufacturing,801875,40.7,22.12,0.98383695,1.47,46.445,31.29,13428792315.0,1179000000.0,2.308266,11.93,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MAS
99,123,123,J,Jacobs Engineering Group Inc.,Industrial Services,800286,,,,,,,,,,,
286,398,398,TROW,"T. Rowe Price Group, Inc.",Finance,798317,101.99,19.92,2.140443,4.75,120.07,66.7,25810865035.0,2281400000.0,7.3911157,4.61,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=TROW
400,252,252,LYB,LyondellBasell Industries NV,Process Industries,792853,105.79,10.35,3.264714,12.25,121.95,78.01,43556650000.0,6851000000.0,1.3037612,5.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LYB
200,3,3,UPS,"United Parcel Service, Inc.",Transportation,791014,109.28,18.27,2.9666696,5.62,135.53,102.12,96436356833.0,7919000000.0,1.4744618,64.7,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UPS
202,120,120,ADP,"Automatic Data Processing, Inc.",Technology Services,788374,108.25,29.34,2.2190912,3.85,125.24,95.5,50337702249.0,2767400000.0,4.0483294,12.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADP
427,176,176,ADM,Archer-Daniels-Midland Company,Process Industries,783290,41.35,17.45,3.1761081,2.17,47.44,38.59,23594770663.0,2927000000.0,0.52478915,1.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ADM
482,275,275,HSY,The Hershey Company,Consumer Non-Durables,777889,97.65,20.51,2.6494346,3.66,116.49,98.851,20867272020.0,1404123000.0,2.8396711,25.64,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HSY
53,483,483,BXP,"Boston Properties, Inc.",Finance,777070,112.09,18.05,2.7744062,2.93,140.13,111.87,17799878487.0,1546846000.0,6.839459,3.15,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=BXP
443,453,453,CF,"CF Industries Holdings, Inc.",Process Industries,775999,37.46,-59.46,3.0395136,-1.2,43.98,25.04,9209106695.0,711000000.0,3.0044448,2.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CF
458,349,349,TDY,Teledyne Technologies Incorporated,Electronic Technology,775397,,,,,,,,,,,
118,429,429,PHM,"PulteGroup, Inc.",Consumer Durables,768377,28.67,12.86,1.2036108,1.44,35.21,21.06,8792572352.0,992811000.0,1.0341544,1.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PHM
473,258,258,CRL,"Charles River Laboratories International, Inc.",Commercial Services,766281,,,,,,,,,,,
372,452,452,AVB,"AvalonBay Communities, Inc.",Finance,764723,154.94,17.97,3.7149355,6.36,199.52,156.01,21856547430.0,1331579000.0,10.251216,2.12,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AVB
348,63,63,CHTR,"Charter Communications, Inc.",Consumer Services,761621,348.65,162.92,0.0,34.08,408.83,308.3,86708878113.0,14694000000.0,2.1208634,2.27,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CHTR
399,264,264,MSI,"Motorola Solutions, Inc.",Electronic Technology,761328,98.74,19.03,2.0266979,-1.08,107.78,77.23,16626039679.0,1629000000.0,2.6092634,6.81,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MSI
382,7,7,SBUX,Starbucks Corporation,Consumer Services,758036,53.77,25.98,2.203452,1.97,64.87,52.58,76548976000.0,7361500000.0,3.4392443,13.36,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=SBUX
271,97,97,CNC,Centene Corporation,Health Services,756238,100.36,19.12,0.0,3.23,112.42,65.03,18012494506.0,2063000000.0,0.5028663,2.58,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=CNC
401,195,195,EXC,Exelon Corporation,Utilities,754614,35.98,14.51,3.8174274,1.23,42.67,33.3,34734816899.0,8548000000.0,1.3933871,1.26,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EXC
489,414,414,FFIV,"F5, Inc.",Electronic Technology,753714,137.25,21.21,0.0,6.51,149.5,114.63,8744185796.0,629940000.0,4.1203604,6.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FFIV
112,140,140,WM,"Waste Management, Inc.",Industrial Services,751732,79.12,25.36,2.0800195,2.66,89.73,69.55,35488486675.0,3896000000.0,3.2787669,6.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=WM
481,397,397,LW,"Lamb Weston Holdings, Inc.",Consumer Non-Durables,751632,,,,,,,,,,,
128,64,64,MMM,3M Company,Producer Manufacturing,751448,222.89,24.31,2.3328617,7.92,259.77,175.49,139000000000.0,9048000000.0,4.3902707,11.34,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMM
45,326,326,PPL,PPL Corporation,Utilities,750499,29.52,12.83,5.2196894,2.79,40.2,29.205,20839814845.0,3937000000.0,3.7497053,1.95,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=PPL
211,227,227,GWW,"W.W. Grainger, Inc.",Distribution Services,748315,258.6,22.57,1.9700643,10.02,298.145,155.0,14639308205.0,1279846000.0,1.3995146,8.1,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GWW
340,155,155,FISV,"Fiserv, Inc.",Technology Services,748276,133.05,27.32,0.0,4.14,144.2,106.2,26918949723.0,1911000000.0,6.518713,11.54,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=FISV
337,100,100,IQV,"IQVIA Holdings, Inc.",Health Services,742723,95.23,21.74,0.0,0.76,110.67,75.94,20426488713.0,1542000000.0,2.8477087,2.77,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IQV
178,412,412,HOLX,"Hologic, Inc.",Health Technology,737566,38.8,19.21,0.0,2.64,46.8,35.76,11181493750.0,1561000000.0,4.80335,4.0,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HOLX
161,443,443,NRG,"NRG Energy, Inc.",Utilities,737030,24.0,17.78,1.4195584,-2.23,29.78,14.52,8030036023.0,1774000000.0,0.9933021,6.73,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NRG
23,72,72,EMR,Emerson Electric Company,Producer Manufacturing,732370,66.4,25.74,2.813225,2.35,74.45,56.77,44040298425.0,2542000000.0,3.6707752,5.01,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=EMR
319,137,137,IP,International Paper Company,Process Industries,731253,56.05,15.57,3.206751,5.14,66.94,49.6,24465996443.0,3004000000.0,1.0738261,4.99,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=IP
393,84,84,MMC,"Marsh & McLennan Companies, Inc.",Finance,730830,79.31,20.23,1.8257059,2.87,86.54,69.33,41819440000.0,3236000000.0,2.9848945,5.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=MMC
356,89,89,UAL,"United Airlines Holdings, Inc.",Transportation,730111,63.37,8.85,0.0,7.05,83.04,56.51,19363059152.0,5929000000.0,0.5020496,2.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UAL
123,226,226,NWS,News Corporation,Consumer Services,729645,15.85,44.03,1.2269939,-1.28,17.7,12.35,9496735699.0,679000000.0,1.5718216,0.86,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=NWS
96,496,496,HST,Host Hotels,Finance,726221,18.75,11.23,4.1131105,1.02,21.53,17.26,14394715334.0,1547000000.0,3.5549128,2.02,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=HST
148,58,58,GD,General Dynamics Corporation,Electronic Technology,721020,206.05,20.71,1.5631542,9.55,229.54,181.94,64180390701.0,4618000000.0,2.0481362,5.45,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GD
238,287,287,GRMN,Garmin Ltd.,Electronic Technology,720822,61.13,21.23,3.2339885,2.69,64.96,48.5,11840331607.0,736798000.0,5.319881,3.14,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=GRMN
248,388,388,AKAM,"Akamai Technologies, Inc.",Technology Services,720514,62.49,32.55,0.0,1.79,69.56,44.65,10906904066.0,789517000.0,5.8546524,3.25,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=AKAM
103,304,304,LRCX,Lam Research Corporation,Electronic Technology,719993,162.23,16.29,1.1652974,9.22,219.7,113.1982,27967534829.0,2967218000.0,3.0405293,4.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=LRCX
0,182,182,ULTA,"Ulta Beauty, Inc.",Retail Trade,719916,209.09,32.07,0.0,6.52,314.86,187.96,13300000127.0,1002093000.0,3.3779113,8.04,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=ULTA
33,332,332,COO,"The Cooper Companies, Inc.",Health Technology,717985,223.17,22.96,0.026033757,7.52,256.39,187.02,11297958140.0,615700000.0,6.8538465,3.57,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=COO
